"","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w","trace_name"
"1",0.997622377622378,7150,0.997751861739497,7117,0.406106779101363,7150,0.404560094789912,7150,"1633748"
"2",0.996860282574568,7007,0.997128087306146,6964,0.61258121908816,7150,0.609018633670641,7150,"223811"
"3",0.993702127659574,5875,0.994486560992419,5804,0.316238610676197,7150,0.312843780712208,7150,"1948107"
"4",0.995104895104895,7150,0.995904533258014,7081,0.547164000047919,7150,0.541674720629755,7150,"1962655"
"5",0.994053149972124,5381,0.993983831547283,5319,0.174222264168229,7150,0.173105555339098,7150,"586116"
"6",0.988427839312283,6049,0.988669034331135,5913,0.364636116351285,7150,0.356884686104078,7150,"964155"
"7",0.986153846153846,7150,0.986342725704428,6956,0.417028037896779,7150,0.403928571104222,7150,"1942922"
"8",0.979662317728319,2606,0.980023971234519,2503,0.0309064132538598,7144,0.0298722509095837,7144,"929647"
"9",0.997062937062937,7150,0.99718666479111,7109,0.408975167487913,7150,0.407028070163762,7150,"1338378"
"10",NA,0,NA,0,0,7148,0,7148,"633346"
"11",0.994177790400454,7042,0.994686198477668,6963,0.23296530070349,7150,0.230555432701021,7150,"1650389"
"12",0.994335169158143,6355,0.994910132018451,6287,0.461333480609532,7150,0.457199065070902,7150,"1641245"
"13",NA,0,NA,0,0,7131,0,7131,"1663289"
"14",0.993425238600212,4715,0.993556701030928,4656,0.204415454456247,7150,0.202221973424894,7150,"618849"
"15",0.993000608642727,6572,0.993524514338575,6486,0.371557846756907,7150,0.366946652883122,7150,"1054084"
"16",0.994265734265734,7150,0.995898161244696,7070,0.588719302833647,7150,0.582234149318605,7150,"811237"
"17",0.997202797202797,7150,0.9971870604782,7110,0.501667884384716,7150,0.498924224523101,7150,"955492"
"18",0.993182522466687,6454,0.993563579277865,6370,0.352951205365411,7149,0.349567879384348,7149,"948898"
"19",0.992873741285825,6455,0.993089367048846,6367,0.36664067174961,7148,0.363337490189318,7148,"8383"
"20",NA,0,NA,0,0,7148,0,7148,"737498"
"21",0.995244755244755,7150,0.996471916454982,7086,0.572116213218613,7150,0.567137794510019,7150,"1041019"
"22",0.993156544054748,5845,0.994454072790295,5770,0.111864810303457,7149,0.11046489909165,7149,"1985204"
"23",0.992468225325592,6373,0.992515923566879,6280,0.335471328014148,7150,0.332146574278781,7150,"948601"
"24",0.989260143198091,838,0.990267639902676,822,0.0112669765387899,7150,0.0110317074136808,7150,"1331037"
"25",0.982657342657343,7150,0.982618771726535,6904,0.36641625787529,7150,0.353927799576423,7150,"1669601"
"26",0.99257965953732,6873,0.992615566386058,6771,0.325171628514848,7149,0.320736417410014,7149,"893041"
"27",0.991852146263911,5032,0.992323232323232,4950,0.0666424763644079,7150,0.0656976052463382,7150,"847832"
"28",0.996260069044879,6952,0.996231884057971,6900,0.143489115234004,7150,0.142587034919192,7150,"1102195"
"29",0.991748251748252,7150,0.992038669320444,7034,0.48128874654961,7150,0.473892577617041,7150,"592977"
"30",0.997062937062937,7150,0.997045582442319,7108,0.546851031076853,7150,0.543948130720308,7150,"1471895"
"31",0.993986013986014,7150,0.997029282783986,7069,0.542510912800447,7150,0.537506427877858,7150,"1958442"
"32",0.993991144845035,6324,0.994401791426743,6252,0.370932036020404,7150,0.367483911530469,7150,"948001"
"33",0.996644295302013,298,0.996621621621622,296,0.0155707519711826,7134,0.0154773774765973,7134,"964235"
"34",0.994764397905759,6685,0.994860166288738,6615,0.30542101185299,7150,0.302486587460009,7150,"1650226"
"35",0.99046483909416,5034,0.990487755515078,4941,0.139002818599366,7149,0.136916715215513,7149,"8201"
"36",0.992250565062964,6194,0.992788067529913,6101,0.473587988463043,7150,0.467250164361475,7150,"1546130"
"37",0.993453105968331,6568,0.993678692568609,6486,0.412865071721973,7150,0.408793312440959,7150,"1221713"
"38",0.992519449431478,6684,0.993170435574442,6589,0.366038693797422,7150,0.361736774381069,7150,"943424"
"39",0.994363347304524,6919,0.99488453668518,6842,0.338059962258115,7150,0.334758847712273,7150,"706726"
"40",0.996116832686139,5923,0.996939296038089,5881,0.335223820431369,7150,0.332357556653415,7150,"809906"
"41",0.995018679950187,6424,0.995284501729016,6362,0.404530707538292,7150,0.401227107114538,7150,"611375"
"42",0.993732803424029,6542,0.993966584158416,6464,0.392317391075663,7149,0.388533235082911,7149,"1547003"
"43",0.993006993006993,7150,0.996031746031746,7056,0.595188624751467,7150,0.588350247654783,7150,"1946494"
"44",0.993458086109843,6573,0.994609579547205,6493,0.257048759774386,7150,0.253443064226916,7150,"1545927"
"45",0.993538692712246,6655,0.993914498706831,6573,0.428929250711766,7150,0.424747244468367,7150,"618853"
"46",0.973588342440802,1098,0.977055449330784,1046,0.0108397975854687,7150,0.0103770220030133,7150,"2008368"
"47",0.992820676451819,6268,0.993367842122291,6182,0.275210269713672,7150,0.272352569313796,7150,"943904"
"48",0.996503496503496,7150,0.996620194338826,7101,0.482887894782489,7150,0.480055795426244,7150,"1633630"
"49",0.994146202170188,7004,0.994802194628934,6926,0.271188018154747,7150,0.268116385538822,7150,"1114910"
"50",0.992727272727273,7150,0.992619926199262,7046,0.304802716558507,7149,0.302028322600944,7149,"1023683"
"51",0.994094488188976,5080,0.995618402708624,5021,0.29412315592885,7150,0.292198386633103,7150,"793205"
"52",0.994077834179357,3546,0.994867408041061,3507,0.244662187788431,7150,0.242209929093054,7150,"1221771"
"53",0.993768049855601,6579,0.994154745423781,6501,0.455008949645601,7150,0.450684467482277,7150,"1054467"
"54",0.993006993006993,7150,0.996740824713051,7057,0.573171467059949,7150,0.567292135430082,7150,"715945"
"55",0.994767359637958,7071,0.994854937830499,6997,0.35649890874226,7150,0.353158566413214,7150,"1054036"
"56",0.995418267809636,6766,0.995525059665871,6704,0.272736481221367,7150,0.270409953999723,7150,"612046"
"57",0.997062937062937,7150,0.997468710448601,7111,0.564329815423682,7150,0.561929370062164,7150,"1102397"
"58",0.993642483171279,5348,0.994514847739739,5287,0.287502693904064,7150,0.285073498194222,7150,"358485"
"59",0.995445488186735,7026,0.996556671449067,6970,0.574165441211435,7150,0.570767257380916,7150,"810877"
"60",0.99273570324575,6470,0.99294670846395,6380,0.390840995965395,7150,0.385906433609135,7150,"1126"
"61",0.993602142538313,6721,0.994277108433735,6640,0.464718414368292,7150,0.459758827619978,7150,"715737"
"62",0.990829694323144,2290,0.991103202846975,2248,0.0366453566377813,7149,0.036028205297343,7149,"1099406"
"63",0.992131257324627,5973,0.993031951053705,5884,0.381418342768965,7150,0.376315592086567,7150,"1220694"
"64",0.992813622871426,6401,0.99302804626842,6311,0.353701353608825,7150,0.350006901584913,7150,"943893"
"65",0.993537964458804,6190,0.994438992476284,6114,0.323064645740855,7150,0.319508788971226,7150,"809838"
"66",0.992442936458976,6484,0.992487087181092,6389,0.378102555913488,7149,0.374406916922726,7149,"1054436"
"67",NA,0,NA,0,0,7111,0,7111,"817395"
"68",0.992060054857803,6927,0.99266862170088,6820,0.415827263449796,7150,0.409709454477064,7150,"586036"
"69",0.991906765943671,6178,0.992434210526316,6080,0.254964677864382,7150,0.25174265975063,7150,"706714"
"70",0.993816920524808,6631,0.994201129253777,6553,0.362368191292806,7150,0.359195487187268,7150,"1220878"
"71",0.995384615384615,7150,0.995341614906832,7084,0.128751679380384,7150,0.126830367616376,7150,"955414"
"72",NA,0,NA,0,0,7092,0,7092,"1555181"
"73",NA,0,NA,0,0,7150,0,7150,"1739024"
"74",0.994545454545455,7150,0.996184824077999,7077,0.589631077243972,7150,0.583743950705498,7150,"1652570"
"75",0.993678692568609,6486,0.994068987045419,6407,0.283335054687983,7150,0.280850941620521,7150,"1220941"
"76",0.99384236453202,6496,0.994549135648653,6421,0.469857479206034,7150,0.464861117360956,7150,"1947988"
"77",0.992867132867133,7150,0.995747093847462,7054,0.298488450851093,7150,0.294615127588397,7150,"807274"
"78",0.985565356856456,1247,0.98598516075845,1213,0.0178447042004996,7150,0.0174248370594299,7150,"1475279"
"79",0.994162087912088,5824,0.99444251476207,5758,0.260650617505205,7150,0.258562825096457,7150,"594559"
"80",0.997202797202797,7150,0.9971870604782,7110,0.572620672938744,7150,0.569741751388851,7150,"965207"
"81",0.996149458071877,7012,0.996263294050014,6958,0.393905873873627,7150,0.390965898359024,7150,"942980"
"82",0.995548050353086,6514,0.995974609072612,6459,0.379360948372838,7150,0.376499762978401,7150,"715586"
"83",0.996597633136095,6760,0.996575342465753,6716,0.186917046614951,7150,0.18532981860586,7150,"799526"
"84",0.99297385620915,6120,0.993373094764745,6036,0.39459510121114,7150,0.390337101721395,7150,"1641403"
"85",0.993706293706294,7150,0.996745436536012,7067,0.563662172356174,7150,0.558081675595666,7150,"1615370"
"86",0.994405594405594,7150,0.994768839247844,7073,0.427686441145313,7150,0.423176109212262,7150,"1771782"
"87",0.991885143570537,6408,0.992230854605993,6307,0.305325497652186,7150,0.301584412272101,7150,"1948338"
"88",0.975680272108844,5880,0.974803431022159,5596,0.122594588369687,7150,0.116257022040596,7150,"1035359"
"89",0.995244755244755,7150,0.996612083568605,7084,0.586921563604257,7150,0.581729680792381,7150,"780697"
"90",0.998041958041958,7150,0.998034260039315,7122,0.810724873508626,7150,0.807989992781666,7150,"1061254"
"91",0.988671328671329,7150,0.989708404802744,6996,0.149782191952387,7150,0.145835140702847,7150,"1938269"
"92",0.994748358862144,2285,0.995581087052585,2263,0.0354929966705764,7148,0.0349951315954959,7148,"827636"
"93",0.990051967334818,6735,0.990613171839515,6605,0.178855373932862,7150,0.175597822534424,7150,"1629198"
"94",0.979716024340771,1972,0.979419525065963,1895,0.0249191256366418,7144,0.0236206194252906,7144,"605145"
"95",0.993611195619106,6574,0.993840468124423,6494,0.277990248647062,7150,0.275731823383539,7150,"1053575"
"96",0.991706979958535,5788,0.992275280898876,5696,0.327910704230663,7150,0.323507416327283,7150,"1947803"
"97",0.992274819197896,6084,0.992488733099649,5991,0.332074299673378,7150,0.328693652207969,7150,"706990"
