Model,StateNum,Probability.Cut.Off,Granularity,Window.Size,Sample.Size,BinNum,Avg.Cycle.Usage1,Avg.Cycle.Usage2,Survival.Rate,Correctly.Scheduled,Correctly.Unscheduled
AR1,0,0.005,1.5625,36,3000,0,NA,NA,NA,NA,NA
AR1,0,0.01,1.5625,36,3000,0,NA,NA,NA,NA,NA
AR1,0,0.1,1.5625,36,3000,0,NA,NA,NA,NA,NA
AR1,0,0.005,3.125,36,3000,0,NA,NA,NA,NA,NA
AR1,0,0.01,3.125,36,3000,0,NA,NA,NA,NA,NA
AR1,0,0.1,3.125,36,3000,0,NA,NA,NA,NA,NA
AR1_logistic_glm,0,0.005,0,12,100,500,0.438634958,0.36302481,0.934617046,0.585,0.67258847
AR1_logistic_glm,0,0.005,0,12,100,1000,0.450160637,0.373843649,0.935804141,0.585,0.67258847
AR1_logistic_glm,0,0.01,0,12,100,500,0.468316755,0.385514519,0.929908492,0.570731707,0.672583555
AR1_logistic_glm,0,0.01,0,12,100,1000,0.480523062,0.396179091,0.927777783,0.570731707,0.672583555
AR1_logistic_glm,0,0.1,0,12,100,500,0.600134127,0.481060874,0.885963168,0.613105925,0.695147038
AR1_logistic_glm,0,0.1,0,12,100,1000,0.607075948,0.485701524,0.882382742,0.613105925,0.695147038
AR1_logistic_glm,0,0.75,0,12,100,500,0.602697371,0.461569047,0.697502444,0.201923077,0.783022618
AR1_logistic_glm,0,0.75,0,12,100,1000,0.612582313,0.470757228,0.706437703,0.201923077,0.783022618
AR1_logistic_glm,0,0.005,0.78125,12,100,500,0.437537135,0.361837178,0.936367073,0.585,0.707181588
AR1_logistic_glm,0,0.005,0.78125,12,100,1000,0.448731233,0.372322272,0.936371186,0.585,0.707181588
AR1_logistic_glm,0,0.01,0.78125,12,100,500,0.467143409,0.384222722,0.930915116,0.570731707,0.707177731
AR1_logistic_glm,0,0.01,0.78125,12,100,1000,0.478893044,0.39462409,0.928741625,0.570731707,0.707177731
AR1_logistic_glm,0,0.1,0.78125,12,100,500,0.59871502,0.480202059,0.887490704,0.613105925,0.730979741
AR1_logistic_glm,0,0.1,0.78125,12,100,1000,0.605318834,0.484916224,0.883891039,0.613105925,0.730979741
AR1_logistic_glm,0,0.75,0.78125,12,100,500,0.61344165,0.474151498,0.704055378,0.181318999,0.820561644
AR1_logistic_glm,0,0.75,0.78125,12,100,1000,0.62482187,0.485151217,0.712889613,0.181318999,0.820561644
AR1_logistic_glm,0,0.005,1.5625,12,100,500,0.436122719,0.360446668,0.942331951,0.585,0.731888046
AR1_logistic_glm,0,0.005,1.5625,12,100,1000,0.446898856,0.370572781,0.937005237,0.585,0.731888046
AR1_logistic_glm,0,0.01,1.5625,12,100,500,0.465690244,0.38268133,0.932144659,0.570731707,0.731884944
AR1_logistic_glm,0,0.01,1.5625,12,100,1000,0.477134385,0.393019691,0.929442416,0.570731707,0.731884944
AR1_logistic_glm,0,0.1,1.5625,12,100,500,0.598620011,0.479616261,0.88915831,0.602122016,0.756570389
AR1_logistic_glm,0,0.1,1.5625,12,100,1000,0.605582334,0.484511995,0.882947276,0.602122016,0.756570389
AR1_logistic_glm,0,0.75,1.5625,12,100,500,0.632819082,0.49137834,0.714418206,0.17876167,0.852696243
AR1_logistic_glm,0,0.75,1.5625,12,100,1000,0.644191848,0.502100851,0.724641158,0.17876167,0.852696243
AR1_logistic_glm,0,0.005,3.125,12,100,500,0.437664292,0.357412104,0.945847702,0.585,0.778029191
AR1_logistic_glm,0,0.005,3.125,12,100,1000,0.447441883,0.366980558,0.945737411,0.585,0.778029191
AR1_logistic_glm,0,0.01,3.125,12,100,500,0.467527883,0.379498024,0.936915454,0.570731707,0.7780275
AR1_logistic_glm,0,0.01,3.125,12,100,1000,0.478798342,0.389645158,0.937777118,0.570731707,0.7780275
AR1_logistic_glm,0,0.1,3.125,12,100,500,0.604567863,0.477928968,0.893326359,0.577284372,0.804236441
AR1_logistic_glm,0,0.1,3.125,12,100,1000,0.611510107,0.483069517,0.88582045,0.577284372,0.804236441
AR1_logistic_glm,0,0.75,3.125,12,100,500,0.661566274,0.507628184,0.725130522,0.152032268,0.901860685
AR1_logistic_glm,0,0.75,3.125,12,100,1000,0.673551215,0.51911615,0.73544463,0.152032268,0.901860685
AR1_logistic_glm,0,0.005,0,36,100,500,0.225869737,0.164290401,0.900378967,0.222543353,0.87296338
AR1_logistic_glm,0,0.005,0,36,100,1000,0.249305386,0.179593949,0.912588231,0.222543353,0.87296338
AR1_logistic_glm,0,0.01,0,36,100,500,0.250617765,0.180413382,0.898820068,0.231213873,0.873179186
AR1_logistic_glm,0,0.01,0,36,100,1000,0.274777657,0.195497877,0.897101853,0.231213873,0.873179186
AR1_logistic_glm,0,0.1,0,36,100,500,0.382235467,0.256597551,0.846767228,0.181132075,0.882443466
AR1_logistic_glm,0,0.1,0,36,100,1000,0.399694307,0.267884219,0.849861136,0.181132075,0.882443466
AR1_logistic_glm,0,0.75,0,36,100,500,0.536883138,0.349165277,0.726566508,0.071180556,0.9298962
AR1_logistic_glm,0,0.75,0,36,100,1000,0.551438755,0.354989327,0.735431235,0.071180556,0.9298962
AR1_logistic_glm,0,0.005,0.78125,36,100,500,0.220881957,0.163088348,0.902880111,0.222543353,0.885391105
AR1_logistic_glm,0,0.005,0.78125,36,100,1000,0.242415079,0.178319617,0.918162246,0.222543353,0.885391105
AR1_logistic_glm,0,0.01,0.78125,36,100,500,0.244466118,0.179167621,0.900101535,0.231213873,0.885612083
AR1_logistic_glm,0,0.01,0.78125,36,100,1000,0.267393455,0.194510205,0.901318189,0.231213873,0.885612083
AR1_logistic_glm,0,0.1,0.78125,36,100,500,0.369054711,0.255193818,0.849627314,0.179422836,0.894917645
AR1_logistic_glm,0,0.1,0.78125,36,100,1000,0.38866613,0.267103351,0.855774726,0.179422836,0.894917645
AR1_logistic_glm,0,0.75,0.78125,36,100,500,0.55259333,0.353124099,0.733065621,0.06874116,0.94201621
AR1_logistic_glm,0,0.75,0.78125,36,100,1000,0.565909027,0.358216281,0.740475508,0.06874116,0.94201621
AR1_logistic_glm,0,0.005,1.5625,36,100,500,0.226346705,0.161835768,0.908990299,0.222543353,0.890251609
AR1_logistic_glm,0,0.005,1.5625,36,100,1000,0.248210492,0.176875332,0.926326096,0.222543353,0.890251609
AR1_logistic_glm,0,0.01,1.5625,36,100,500,0.250116182,0.17769018,0.90193171,0.231213873,0.89047461
