"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage1","Avg.Cycle.Usage2","Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1_logistic_glm",0,0.01,0.78125,12,100,1000,0.45213000980693,0.376836463503154,0.892592177021567,0.935483870967742,0.706704934049829
"AR1_logistic_glm",0,0.1,0.78125,12,100,500,0.553380378781045,0.449912968514768,0.838193099078446,0.932299012693935,0.730352732569185
"AR1_logistic_glm",0,0.1,0.78125,12,100,1000,0.561533485601982,0.456118057803285,0.833358321051657,0.932299012693935,0.730352732569185
"AR1_logistic_glm",0,0.75,0.78125,12,100,500,0.50872509396949,0.40603964146255,0.522711343301591,0.631652989449003,0.818144666939109
"AR1_logistic_glm",0,0.75,0.78125,12,100,1000,0.514380267457734,0.411419982712613,0.52933036331529,0.631652989449003,0.818144666939109
"AR1_logistic_glm",0,0.005,1.5625,12,100,500,0.405276926338726,0.339122473111361,0.904244409928966,0.935483870967742,0.731558378114314
"AR1_logistic_glm",0,0.005,1.5625,12,100,1000,0.42102705612225,0.353524062241105,0.899618468576574,0.935483870967742,0.731558378114314
"AR1_logistic_glm",0,0.01,1.5625,12,100,500,0.434300702832154,0.361343782759386,0.897646868619074,0.935483870967742,0.731558378114314
"AR1_logistic_glm",0,0.01,1.5625,12,100,1000,0.450236615602716,0.375261245047901,0.893720950801636,0.935483870967742,0.731558378114314
"AR1_logistic_glm",0,0.1,1.5625,12,100,500,0.553327680955215,0.449376663040064,0.839491369307208,0.930888575458392,0.75606358052055
"AR1_logistic_glm",0,0.1,1.5625,12,100,1000,0.561932834236539,0.456027202036819,0.832704042179308,0.930888575458392,0.75606358052055
"AR1_logistic_glm",0,0.75,1.5625,12,100,500,0.519495319534322,0.415743895307154,0.536225005779061,0.628604923798359,0.85034736411933
"AR1_logistic_glm",0,0.75,1.5625,12,100,1000,0.526613283469898,0.422851805721824,0.545230139654849,0.628604923798359,0.85034736411933
