"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"809906",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"611375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1547003",3,1,1,1,3,0,5,2,3,1,3,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1946494",4,0,0,0,0,2,4,2,1,1,2,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1545927",2,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618853",1,1,1,0,6,0,4,0,1,0,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"2008368",4,2,3,3,1,2,0,2,1,0,3,2,0,1,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
"943904",0,1,0,1,1,0,1,2,1,1,2,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"1633630",5,3,3,6,2,2,2,1,2,3,1,4,2,0,2,0,1,0,1,2,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,4
"1114910",29,58,8,1,1,2,0,0,0,0,1,2,0,1,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1023683",0,0,1,4,1,1,0,7,0,0,0,0,1,2,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,13
"793205",2,1,1,1,0,0,0,3,1,2,1,2,0,1,1,0,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
"1221771",1,1,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1054467",1,3,1,0,2,2,0,2,4,1,7,4,0,2,1,1,3,0,2,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,4
"715945",2,2,0,2,1,2,2,2,1,1,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"1054036",2,1,7,3,4,4,0,2,0,3,3,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"612046",6,0,5,4,3,3,2,1,2,6,4,1,1,1,2,0,2,0,1,1,2,2,2,1,0,1,0,3,0,0,0,0,0,0,1,0,0
"1102397",0,1,0,2,3,1,1,1,3,1,0,0,1,2,1,1,1,2,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3
"358485",1,1,0,3,0,2,2,0,2,1,3,3,1,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"810877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1126",2,2,2,1,2,3,2,0,2,0,4,7,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"715737",3,1,0,2,3,1,5,4,1,1,4,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1099406",5,5,2,2,4,5,2,1,4,1,3,2,1,2,2,0,2,1,0,1,0,0,1,0,2,2,2,0,0,1,0,0,0,0,1,1,7
"1220694",3,0,0,2,2,1,1,2,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"943893",2,4,3,2,4,1,3,3,2,5,2,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"809838",2,2,1,3,0,3,2,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1054436",4,0,2,0,0,2,1,1,1,1,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"817395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586036",1,1,1,1,2,0,2,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"706714",0,0,1,2,0,2,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1220878",1,0,2,0,0,1,1,3,2,3,2,4,1,2,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,4
"955414",38,18,1,1,1,1,0,0,0,0,1,5,6,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1555181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1739024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1652570",0,1,3,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1220941",3,3,2,4,1,2,4,2,4,1,1,3,1,0,2,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1947988",3,3,2,1,1,3,0,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"807274",4,1,1,2,0,2,4,1,3,1,2,1,2,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
"1475279",2,4,4,2,2,3,2,2,2,2,2,6,2,3,1,3,1,1,1,0,2,2,0,1,1,0,1,1,0,0,0,2,1,0,1,0,5
"594559",3,1,2,1,3,0,2,2,2,2,1,4,2,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
"965207",0,1,2,0,1,0,1,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942980",4,2,1,1,4,0,1,4,2,3,2,3,3,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8
"715586",1,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"799526",1,3,3,2,0,1,2,2,0,0,1,1,2,2,2,1,1,1,1,1,0,2,0,0,2,2,0,1,0,0,1,0,0,0,0,0,11
"1641403",3,1,2,4,3,1,0,2,1,2,3,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1615370",0,2,0,3,0,2,0,0,3,0,5,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1771782",4,2,2,3,1,4,2,3,3,4,2,3,2,1,2,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,2
"1948338",0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,1,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,17
"1035359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"780697",2,4,0,0,1,1,1,3,0,0,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
"1061254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1938269",1,0,3,2,2,9,2,1,5,1,2,5,0,0,2,0,0,1,0,1,2,2,1,1,0,0,1,0,0,0,0,0,2,0,0,2,2
"827636",1,2,1,2,4,6,2,1,3,0,0,1,2,1,1,0,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1629198",1,1,0,2,2,2,2,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"605145",5,5,3,2,2,11,1,3,3,2,2,4,5,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2
"1053575",3,4,2,2,5,4,2,4,0,1,2,5,2,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1947803",2,1,3,1,3,3,2,1,2,1,1,10,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"706990",1,3,0,0,4,0,2,0,2,2,1,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1061169",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282785",1,1,2,4,5,0,1,4,1,2,0,2,2,0,2,1,2,1,1,1,1,0,0,2,0,1,0,1,0,2,0,0,3,0,0,0,12
"825849",3,4,2,1,1,4,1,4,1,2,5,3,0,2,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,1,1,5
