"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"955414",37,18,1,1,1,1,0,0,0,0,1,5,7,1,0,0,0,0,0,3
"1555181",0,0,1,2,1,0,1,1,0,1,0,0,0,2,0,0,0,0,1,10
"1739024",5,2,2,4,1,2,1,3,0,2,2,1,1,3,2,0,0,0,0,5
"1652570",1,2,4,1,0,2,3,0,1,3,2,0,2,0,0,0,1,0,1,5
"1220941",3,3,2,4,1,2,4,2,4,1,1,3,1,0,2,1,0,1,3,4
"1947988",7,2,2,3,2,0,2,3,2,5,3,2,1,1,0,0,1,0,0,2
"807274",4,1,1,1,0,2,4,1,4,1,1,2,1,0,1,1,1,1,1,9
"1475279",2,4,3,1,2,3,3,2,2,2,2,5,2,3,1,3,1,0,1,19
"594559",1,0,1,0,1,0,3,3,2,1,2,5,1,0,1,0,0,1,0,6
"965207",0,1,3,0,2,0,2,0,3,0,0,12,0,0,0,0,0,0,0,0
"942980",4,2,1,0,3,0,2,3,2,4,2,3,4,0,0,0,1,1,2,14
"715586",1,0,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2
"799526",1,3,2,2,0,1,2,2,0,0,1,2,1,0,3,1,1,1,0,21
"1641403",3,1,2,4,3,1,1,3,1,1,2,3,1,0,0,0,1,1,0,1
"1615370",0,4,1,1,1,3,0,1,2,1,4,4,0,0,0,0,0,0,0,6
"1771782",5,2,4,4,2,5,2,6,1,4,2,2,3,1,2,0,0,0,0,10
"1948338",0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0,1,21
"1035359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"780697",2,6,0,1,1,1,1,1,0,2,2,2,0,0,1,0,0,0,0,6
"1061254",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1938269",0,0,3,1,2,7,3,1,4,0,3,3,0,1,4,1,0,4,0,13
"827636",1,2,1,1,4,5,2,1,3,0,2,1,2,1,1,0,2,0,1,5
"1629198",2,1,0,1,2,2,2,0,1,3,2,1,0,0,1,0,0,0,0,3
"605145",5,4,2,2,2,12,1,3,3,2,3,5,5,0,2,0,0,0,1,8
"1053575",1,4,2,4,5,6,3,4,1,1,4,5,1,0,0,1,0,0,1,1
"1947803",2,3,2,2,2,2,1,1,2,1,1,10,0,1,2,2,1,0,1,2
"706990",1,2,0,0,5,0,2,0,2,2,1,9,0,0,0,0,1,0,0,3
"1061169",1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"282785",1,1,1,3,5,2,1,4,1,2,0,2,2,0,2,1,1,1,1,23
"825849",3,3,3,1,0,3,0,2,0,3,2,10,0,1,0,0,1,0,0,18
