"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"809906",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"611375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1547003",3,1,1,1,3,0,5,2,2,2,3,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1946494",5,0,2,1,1,2,4,3,2,1,3,2,1,0,2,0,0,0,1,0,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"1545927",1,0,1,3,1,0,1,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618853",8,1,1,2,4,3,3,2,2,4,2,4,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"2008368",4,2,0,6,1,1,1,2,2,0,2,2,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3
"943904",0,3,0,1,1,0,0,1,1,2,3,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"1633630",4,3,2,3,0,0,0,1,2,2,3,1,2,1,2,0,3,1,2,2,0,1,0,1,1,3,0,0,0,1,1,0,1,0,1,1,6
"1114910",30,59,8,2,1,2,0,0,0,0,1,1,0,1,3,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1023683",0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,18
"793205",3,1,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
"1221771",3,3,1,0,3,1,1,2,1,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1054467",0,2,0,1,0,1,0,1,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
"715945",2,2,1,1,0,1,5,3,1,2,1,2,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"1054036",1,1,3,4,0,0,4,3,1,5,5,3,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"612046",5,1,5,2,2,3,3,1,1,2,0,4,2,1,1,1,1,1,1,0,2,3,0,0,0,2,0,5,1,1,0,0,2,0,1,0,2
"1102397",2,1,1,3,2,1,1,1,1,2,0,5,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,7
"358485",1,1,1,3,0,2,1,0,3,1,3,2,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
"810877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
