"","name","window_size","extrap_step","response","target","train_policy","cluster_type","cut_off_prob","granularity","train_size","model_num","update_freq","react_speed","state_num","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","MARKOV",12,1,"max",0.99,"offline","quantile",1e-04,0,840,1,3,"1,2",8,0.93578303325678,57041,0.953790627958346,50704,0.263392010789383,59249,0.233227444018878,59249
"2","MARKOV",12,1,"max",0.99,"offline","quantile",3e-04,0,840,1,3,"1,2",8,0.93578303325678,57041,0.953790627958346,50704,0.263392010789383,59249,0.233227444018878,59249
"3","MARKOV",12,1,"max",0.99,"offline","quantile",5e-04,0,840,1,3,"1,2",8,0.93578303325678,57041,0.953790627958346,50704,0.263392010789383,59249,0.233227444018878,59249
"4","MARKOV",12,1,"max",0.99,"offline","quantile",0.001,0,840,1,3,"1,2",8,0.93578303325678,57041,0.953790627958346,50704,0.263392010789383,59249,0.233227444018878,59249
"5","MARKOV",12,1,"max",0.99,"offline","quantile",0.003,0,840,1,3,"1,2",8,0.93578303325678,57041,0.953790627958346,50704,0.263392010789383,59249,0.233227444018878,59249
"6","MARKOV",12,1,"max",0.99,"offline","quantile",0.005,0,840,1,3,"1,2",8,0.93578303325678,57041,0.953790627958346,50704,0.263392010789383,59249,0.233227444018878,59249
"7","MARKOV",12,1,"max",0.99,"offline","quantile",0.01,0,840,1,3,"1,2",8,0.894459011269513,57589,0.913255485692288,46758,0.374130285006173,59249,0.316656310234378,59249
"8","MARKOV",12,1,"max",0.99,"offline","quantile",0.03,0,840,1,3,"1,2",8,0.8182346010007,58559,0.832230587877405,39447,0.466365397380518,59249,0.339036059224532,59249
"9","MARKOV",12,1,"max",0.99,"offline","quantile",0.05,0,840,1,3,"1,2",8,0.763965314570947,58699,0.779864478065308,34238,0.471963757902193,59249,0.302964349244343,59249

