"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.48061757508393,0.960122699386503,NA,0.301204819277108
"223811",0.671910523877294,0.966867469879518,NA,0.650602409638554
"1948107",0.32271387272105,0.941538461538462,NA,0.421686746987952
"1962655",0.575677331556476,0.957831325301205,NA,0.753012048192771
"586116",0.216008436196999,0.936329588014981,NA,0.442771084337349
"964155",0.260461537941223,0.956678700361011,NA,0.457831325301205
"1942922",0.27080812920261,0.975903614457831,NA,0.990963855421687
"929647",0,NA,NA,0.885542168674699
"1338378",0.452466747910165,0.97289156626506,NA,0.762048192771084
"633346",0,NA,NA,0.912650602409639
"1650389",0.205281316431508,0.948275862068966,NA,0.602409638554217
"1641245",0.490106497300757,0.97289156626506,NA,0.867469879518072
"1663289",0,NA,NA,0.692771084337349
"618849",0.304467604274605,0.928571428571429,NA,0.298192771084337
"1054084",0.4104770382452,0.957317073170732,NA,0.650602409638554
"811237",0.664149386830224,0.957831325301205,NA,0.713855421686747
"955492",0.479911855886509,0.97289156626506,NA,0.662650602409639
"948898",0.293964360227457,0.940438871473354,NA,0.828313253012048
"8383",0.329292143378034,0.935185185185185,NA,0.828313253012048
"737498",0.299068443146597,0.947368421052632,NA,0.650602409638554
"1041019",0.61229844548116,0.957831325301205,NA,0.774096385542169
"1985204",0.318591493750472,0.925465838509317,NA,0.719879518072289
"948601",0.281792480166266,0.934169278996865,NA,0.765060240963855
"1331037",0.198997460199735,0.946341463414634,NA,0.442771084337349
"1669601",0.192230538940538,0.981707317073171,NA,0.966867469879518
"893041",0.226444021814118,0.948795180722892,NA,1
"847832",0,NA,NA,0.882530120481928
"1102195",0.00154308098600732,1,NA,0.831325301204819
"592977",0.452497532924133,0.96048632218845,NA,0.77710843373494
"1471895",0.548020022785692,0.975903614457831,NA,0.566265060240964
"1958442",0.593836340525602,0.951807228915663,NA,0.753012048192771
"948001",0.339843597232039,0.948328267477204,NA,0.822289156626506
"964235",0.397302353617942,0.964285714285714,1,0.740853658536585
"1650226",0.277648531984466,0.951367781155015,NA,0.635542168674699
"8201",0.127581091768109,0.967479674796748,NA,0.680722891566265
"1546130",0.474224084819741,0.97289156626506,NA,0.954819277108434
"1221713",0.359517323232304,0.948795180722892,NA,0.801204819277108
"943424",0.270876577957062,0.944444444444444,NA,0.521084337349398
"706726",0.290160886350261,0.940199335548173,NA,0.66566265060241
"809906",0.491058779295574,0.935606060606061,0.884615384615385,0.241830065359477
"611375",0.451765683467747,0.948795180722892,NA,0.629518072289157
"1547003",0.355096599012155,0.96969696969697,NA,0.792168674698795
"1946494",0.647422697173953,0.954819277108434,NA,0.762048192771084
"1545927",0.196825142903857,0.98159509202454,NA,0.94578313253012
"618853",0.415036450272198,0.939759036144578,NA,0.731927710843373
"2008368",0,NA,NA,0.849397590361446
"943904",0.249090280587105,0.914893617021277,NA,0.566265060240964
"1633630",0.511600392320484,0.939759036144578,NA,0.614457831325301
"1114910",0.204620670167192,0.969879518072289,NA,0.936746987951807
"1023683",0.187166517659275,0.897590361445783,NA,0.816265060240964
"793205",0.292117929800377,0.951890034364261,NA,0.644578313253012
"1221771",0.369587629746178,0.961038961038961,NA,0.298192771084337
"1054467",0.505087170085958,0.957317073170732,NA,0.216867469879518
"715945",0.648599777375752,0.969879518072289,NA,0.731927710843373
