"","name","window_size","extrap_step","response","target","train_policy","statistics","cut_off_prob","granularity","train_size","model_num","update_freq","react_speed","n","half_life","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,1,0.921892020367442,671071,0.921226191289063,571167,0.697328380633074,716235,0.612823068399309,716235
"2","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,1,0.895956323546866,682473,0.892473569390837,548228,0.718144756932998,716235,0.601739019415928,716235
"3","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,3,0.953176616079552,651747,0.953325099464461,592674,0.635679570471574,716235,0.589354513897422,716235
"4","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,3,0.923921369907261,674907,0.923985652703281,577391,0.706239582101813,716235,0.625020279914932,716235
"5","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,6,0.970414801971305,640185,0.971291247493246,603370,0.608853290675702,716235,0.582199023682532,716235
"6","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,6,0.932264159870363,676348,0.933445129402819,589168,0.709917743653343,716235,0.636588085943724,716235
"7","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,12,0.977750189163927,629084,0.97859008613814,601824,0.574590139570242,716235,0.556075404896823,716235
"8","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,12,0.935429840548378,677635,0.93951594616249,595347,0.714804181410581,716235,0.64095121416175,716235
"9","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,72,0.982978510470355,619511,0.985101370740627,599384,0.526704897833923,716235,0.512205365538341,716235
"10","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,72,0.938384440927024,677264,0.948260447553705,600643,0.711749244906307,716235,0.64050535537803,716235
"11","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,1,0.929747030405938,665495,0.929881481764223,576367,0.684311885383443,716235,0.609487315407135,716235
"12","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,3,0.972396633782152,631807,0.97322688985676,597876,0.596725516066878,716235,0.571218522516492,716235
"13","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,6,0.982166708544375,604936,0.982867468228685,583860,0.534002836407634,716235,0.519375843424301,716235
"14","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,12,0.987312469004046,570639,0.987946048323624,556498,0.463247024569637,716235,0.454061144753144,716235
"15","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,72,0.995622767788162,453026,0.995850077365779,449165,0.278679846434435,716235,0.276851764068494,716235
"16","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,144,0.996941453087394,414249,0.997030306415072,411827,0.229756292274516,716235,0.228768371212659,716235
"17","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,144,0.98344246427148,614705,0.98602832627108,595419,0.507724547507398,716235,0.493674747864656,716235
"18","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,144,0.938506433213954,678510,0.949741145069971,602461,0.709263227144322,716235,0.639093697835491,716235
