timestamp,min_cpu,max_cpu,avg_cpu
0,2.172284,7.227241,3.873743
300,2.97355,8.147763000000001,4.33677
600,1.312751,8.305894,4.402268
900,2.973693,7.611181,4.599162000000001
1200,2.794981,13.424817,5.319428
1500,3.627795,56.823299,23.64663
1800,2.7007470000000002,7.113758,4.532702
2100,2.642481,15.530225,5.642938
2400,2.652053,8.106322,4.394741000000001
2700,3.073101,15.586310000000001,5.711966
3000,3.4551800000000004,7.57905,5.107348
3300,3.034932,9.114691,4.816794
3600,2.6981669999999998,7.5104619999999995,4.599729
3900,2.4470669999999997,15.952017999999999,5.547669
4200,3.206983,17.019404,5.837154
4500,3.0289650000000004,8.858323,4.586714
4800,3.512981,18.804039000000003,6.176789
5100,3.051657,48.701419,13.768574
5400,3.2158849999999997,48.655262,15.168996
5700,3.158449,8.136723,4.370291
6000,2.984928,10.479415,4.856186
6300,2.814835,7.428225,4.132135
6600,2.7737060000000002,9.084004,5.1469949999999995
6900,3.055227,7.905087,4.505421
7200,2.717561,7.231453,4.08326
7500,2.993741,8.095935,4.462418
7800,3.0196709999999998,8.092879,4.662953
8100,3.0408180000000002,8.338052000000001,4.92128
8400,3.323257,7.844471,5.007746
8700,1.642457,8.05579,4.458691
9000,3.297568,58.080941,22.860614
9300,2.587423,8.110394,4.038941
9600,2.563145,7.136103,4.220733999999999
9900,2.918429,7.660011,4.07236
10200,2.296248,8.034442,4.491843
10500,2.639637,12.130574000000001,4.888114
10800,1.231572,7.457791,4.159836
11100,2.8904349999999996,7.7918330000000005,4.122367
11400,2.8646279999999997,7.746331,4.353091
11700,3.122255,8.0453,4.205143
12000,3.1078200000000002,7.5071710000000005,4.345276999999999
12300,2.727475,8.4042,4.101724
12600,2.728751,63.793063000000004,9.958188999999999
12900,2.933227,44.971323,16.559417
13200,2.796919,7.593750999999999,3.9891910000000004
13500,2.8999669999999997,7.177135000000001,4.16558
13800,2.936661,8.14001,4.37899
14100,2.287329,8.63172,4.126773
14400,2.817345,8.223005,4.436854
14700,1.572676,7.4249089999999995,3.830178
15000,2.6640900000000003,7.6696740000000005,4.214533
15300,1.35102,7.515039,3.762059
15600,1.725357,5.224163,3.8416940000000004
15900,2.8524119999999997,7.997207,4.457433999999999
16200,0.704475,8.00504,3.668089
16500,3.306888,60.216966000000006,23.224929
16800,1.258836,7.608736,4.195416000000001
17100,3.070861,7.618997,4.560302
17400,2.861756,7.314077,4.280714
17700,2.954708,8.385765,4.047474
18000,2.659721,22.653378,6.12625
18300,2.384204,4.810708999999999,3.7155519999999997
18600,2.573323,8.310345,4.179873000000001
18900,1.9729880000000002,7.429047,3.8989339999999997
19200,3.021003,7.831863,4.297829
19500,2.27012,9.440539999999999,4.31795
19800,2.810212,7.759747,3.9470949999999996
20100,1.362973,21.136982999999997,5.602233
20400,3.4314,50.082935,21.557633
20700,1.174418,8.377303999999999,3.9016309999999996
21000,1.648232,4.928637999999999,3.750721
21300,2.973346,8.34845,4.623463
21600,2.063341,7.910759,4.369942
21900,2.996696,8.281058,4.458642
22200,0.9904299999999999,7.9664,4.144512000000001
22500,2.658203,9.075979,4.640301
22800,0.9499059999999999,10.018594,4.373391000000001
23100,2.648974,7.724141,4.077473
23400,1.7743220000000002,8.087645,4.5597010000000004
23700,1.554626,5.7941769999999995,3.907607
24000,3.076232,49.040329,21.606703
24300,0.9973639999999999,17.706463,5.282203
24600,2.684792,8.246694999999999,4.541512
24900,1.904414,7.399423,3.909413
25200,2.634388,7.181023,4.364193
25500,1.020645,7.968255,3.6812709999999997
25800,2.944578,8.225280999999999,4.380806
26100,1.961325,7.381386,4.308591000000001
26400,2.045866,5.377356,3.818078
26700,2.959548,8.441132000000001,4.749361
27000,1.6481569999999999,8.772057,4.301851
27300,2.7200990000000003,34.010006,7.8759369999999995
27600,2.3621659999999998,7.931253,4.548477
27900,2.858751,62.872857999999994,22.984279
28200,1.63688,10.528406,4.181193
28500,2.823309,7.211144,3.9713300000000005
28800,2.3113759999999997,26.622339,5.972432
29100,2.307896,5.474774,3.776501
29400,2.990054,7.540822,4.513994
29700,2.576748,7.653728,3.85503
30000,2.78576,7.973758,4.041829
30300,2.143337,8.17319,3.88007
30600,3.100174,7.183699000000001,4.862458
30900,1.511352,8.547074,4.094499
31200,3.116509,7.533639,4.776826
31500,2.457472,60.308241,19.179658
31800,3.039398,38.872281,7.130464
32100,2.822721,8.210744,4.27289
32400,1.656773,6.993780999999999,3.8571
32700,3.16624,8.188113000000001,4.540323
33000,3.0847860000000003,12.607682,4.5599110000000005
33300,3.3212940000000004,7.312917999999999,4.423737
33600,2.1889819999999998,8.045805999999999,4.065904
33900,3.127743,7.460436,4.069325
34200,3.4725900000000003,8.166708,4.675055
34500,2.294511,7.960047,3.9487019999999995
34800,2.941707,9.684564,4.684732
35100,1.633421,7.8840639999999995,4.496316
35400,3.413671,56.418751,23.693335
35700,3.04527,8.443565,4.665769999999999
36000,3.055055,7.387884,4.308544
36300,2.837904,15.704113000000001,4.775789
36600,2.856251,7.293581,4.290478
36900,2.9948810000000003,8.079479,4.485853
37200,2.25745,5.205971,3.70707
37500,3.017503,9.488745,4.603409
37800,3.215909,79.843561,11.918987
38100,2.9043490000000003,13.087181,5.118049
38400,2.12944,7.103026,4.263401999999999
38700,2.9106919999999996,7.439611,4.344395
39000,2.666433,58.384197,16.110916
39300,3.16328,40.678519,11.611504
39600,1.020816,7.587806,4.287846
39900,2.955857,7.632007000000001,4.6734279999999995
40200,2.079841,8.213904,4.261628
40500,3.1406259999999997,95.48827800000001,13.400385
40800,2.907255,7.905353,4.5327980000000005
41100,1.07077,7.991728999999999,4.445062999999999
41400,3.467896,7.759651,5.194813
41700,1.166453,11.145468,5.45717
42000,2.687948,8.3551,4.593261
42300,2.166902,7.979749000000001,4.500666000000001
42600,3.0905259999999997,7.794351,4.665135
42900,2.451023,43.914299,21.420557000000002
43200,3.203061,94.290341,13.243499
43500,2.7881299999999998,8.074047,4.583297
43800,1.380255,7.662432000000001,4.438434
44100,3.075472,7.230472,4.454358
44400,3.273562,8.183978,4.695276
44700,3.411547,8.393567000000001,5.0712589999999995
45000,2.104968,7.416514,4.3397879999999995
45300,2.7769060000000003,8.057707,5.019476999999999
45600,2.604909,7.580334,4.254356
45900,2.8890740000000004,95.334506,12.942478
46200,2.933527,7.21453,4.34238
46500,1.684439,58.82484,12.521885000000001
46800,3.1518490000000003,48.449853000000004,14.553751
47100,1.940832,7.885743,4.278512999999999
47400,3.128794,7.08184,4.741383
47700,2.741546,8.069252,4.407172
48000,2.728516,7.915991,4.942804
48300,1.622471,7.495242999999999,4.597355
48600,3.157609,84.70075200000001,12.504314
48900,3.0474,7.524857000000001,4.210291000000001
49200,2.2117,7.663059,4.593858
49500,2.8898599999999997,7.849582000000001,4.434499
49800,2.772723,11.493916,5.147141
50100,3.274775,8.627981,5.053031
50400,2.872239,61.343163,23.498955
50700,3.361118,7.941619,4.503463
51000,3.2202349999999997,10.319855,4.920445
51300,3.407971,80.74955,11.959391
51600,2.999431,8.370979,4.84416
51900,2.826489,8.834766,4.811782
52200,3.213751,8.285223,4.827322000000001
52500,1.385518,8.226262,4.6069830000000005
52800,3.409644,7.437892999999999,4.6444220000000005
53100,1.1638030000000001,8.064872,4.345108
53400,2.907609,10.081742,4.594732
53700,1.741225,8.669027,4.196525
54000,3.190588,57.029901,13.421387
54300,3.576998,59.889166,19.287018
54600,0.6998489999999999,8.348912,4.305307
54900,2.929014,11.067817,4.667655
55200,1.264492,7.921898,4.4752220000000005
55500,3.3267580000000003,8.167338,4.591645
55800,3.253625,8.430663000000001,4.589741
56100,3.0465470000000003,16.030375,5.842942
56400,1.4271530000000001,8.039228999999999,4.691096
56700,2.9920240000000002,41.635152000000005,8.039497
57000,3.156056,8.100251,4.880943
57300,1.3087959999999998,7.7091389999999995,4.706962
57600,2.9817110000000002,8.314289,4.310993
57900,3.066062,62.678681999999995,22.940137
58200,3.428618,16.970987,5.847575
58500,0.690872,8.018367999999999,4.545593
58800,2.7971060000000003,7.68048,4.631374
59100,2.010196,8.245569999999999,4.415019
59400,0.7401,5.731898,4.167845
59700,2.89004,7.7896600000000005,4.600171
60000,2.429242,10.493084,4.9565589999999995
60300,3.3376919999999997,8.347311999999999,4.602588
60600,3.180684,8.179502000000001,4.579587
60900,3.567175,8.267351,5.03435
61200,2.915517,8.121091999999999,4.848978
61500,3.067141,7.641789999999999,4.459169
61800,3.3800529999999998,72.680153,23.371560000000002
62100,1.229314,7.5270850000000005,4.370072
62400,3.362221,7.609707000000001,4.730371
62700,3.197405,10.831252000000001,5.203627
63000,3.014608,8.102957,5.344119999999999
63300,3.764925,16.11,5.614335
63600,2.977595,7.174697999999999,4.533816000000001
63900,2.868076,7.430897,4.11872
64200,2.821591,7.089314999999999,4.516866
