"","name","window_size","extrap_step","response","target","train_policy","statistics","cut_off_prob","granularity","train_size","model_num","update_freq","react_speed","n","half_life","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,144,0.994868752552141,519172,0.995243588571384,514043,0.302010989020642,714840,0.299652583758681,714840
"2","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,144,0.978574576326612,642181,0.981638629000318,616076,0.535018207649017,714840,0.516551305261357,714840
"3","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,144,0.940543107643764,680123,0.951438762906319,606389,0.702496202795869,714840,0.63577975111496,714840
"4","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,144,0.993482025351527,577480,0.994093518127182,570221,0.328674271389376,714840,0.325340031930048,714840
"5","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,144,0.974132532949599,664348,0.978126666571717,631911,0.562024951701869,714840,0.538532573460951,714840
"6","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,144,0.927277986441387,687976,0.940126349497717,597074,0.721371526853773,714840,0.63735975306952,714840
"7","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,144,0.992015716186363,641886,0.992887680735188,632002,0.346771519632893,714840,0.342477110895292,714840
"8","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,144,0.970840813729663,678997,0.975633315676316,641860,0.577995992703271,714840,0.550573486752764,714840
"9","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,144,0.908783254782524,708883,0.924802496665309,591509,0.728445761494779,714840,0.62375959386131,714840
