"","name","window_size","extrap_step","response","target","train_policy","statistics","cut_off_prob","granularity","train_size","model_num","update_freq","react_speed","n","half_life","breaks","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,36,10,0.993440679798655,499442,0.993809845428676,493041,0.343956531200357,716235,0.340528428715615,716235
"2","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,36,10,0.990328978791204,548546,0.990880459321609,538185,0.411086846858205,716235,0.405035673623591,716235
"3","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,36,10,0.9879524529933,578375,0.988702775530293,564829,0.458239587660102,716235,0.450036683200141,716235
"4","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,36,10,0.982103306248698,623970,0.98370481767721,602448,0.544715552048336,716235,0.530149256823335,716235
"5","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,36,10,0.960346076049359,668408,0.964990251268305,618542,0.66441206901909,716235,0.622179600207128,716235
"6","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,36,10,0.937902320911829,677320,0.945763645008717,599395,0.714663383444592,716235,0.642037675126812,716235
"7","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,36,20,0.992359169904871,550202,0.992988929889299,542000,0.368718598331001,716235,0.364266242464855,716235
"8","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,36,20,0.988647809688122,594687,0.989512185056024,581532,0.437086010033228,716235,0.429244759013135,716235
"9","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,36,20,0.985698187456247,618523,0.986796506561837,601356,0.484611635357561,716235,0.473912561990103,716235
"10","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,36,20,0.978229695255738,649922,0.980278614155526,622725,0.570874935367059,716235,0.551713531381392,716235
"11","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,36,20,0.949597712613871,676755,0.955249746655113,612801,0.68538215236754,716235,0.628549373808941,716235
"12","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,36,20,0.920859276345083,684995,0.929891014508608,585032,0.731500575388783,716235,0.634931255762398,716235
"13","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,36,50,0.991374637314621,606931,0.992199256625186,596738,0.385141704844396,716235,0.379554992281269,716235
"14","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,36,50,0.987155053533522,645390,0.988324993286116,629293,0.454314673017161,716235,0.444649618996764,716235
"15","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,36,50,0.983534275512656,661799,0.985054500505675,640728,0.501504621457079,716235,0.488191854623975,716235
"16","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,36,50,0.974264618879712,676112,0.976823134236635,642753,0.586109118530327,716235,0.561905592383442,716235
"17","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,36,50,0.937286493947883,689676,0.943723377517277,608743,0.693676283173332,716235,0.619531464935588,716235
"18","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,36,50,0.90372564673988,696416,0.913663129399781,573324,0.73498400398563,716235,0.61467684505158,716235
