"","name","window_size","extrap_step","response","target","train_policy","statistics","cut_off_prob","granularity","train_size","model_num","update_freq","react_speed","n","half_life","breaks","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,12,10,0.930033964095099,10305,0.933053004315591,9037,0.232668464082335,19762,0.209412517197364,19762
"2","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,36,10,0.939469680504238,9202,0.944754735308402,8236,0.198000945453226,19762,0.179329433775938,19762
"3","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,72,10,0.939903033036419,8869,0.94716316517801,7949,0.18993138620783,19762,0.171678254160722,19762
"4","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,12,10,0.865006084031207,13971,0.877090772411201,10642,0.358314477958731,19762,0.281316899764272,19762
"5","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,36,10,0.87521713954835,13816,0.893381334810302,10833,0.337217075015266,19762,0.269778199911268,19762
"6","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,72,10,0.876596048220272,14019,0.897918552036199,11050,0.332063110014374,19762,0.266239705160227,19762
"7","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,12,10,0.74461233589299,16148,0.78535434759301,9327,0.421519679697482,19762,0.254157579851176,19762
"8","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,36,10,0.761858428606179,16444,0.813788980771147,10037,0.422167419890576,19762,0.268072336770417,19762
"9","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,72,10,0.762436301868479,16484,0.817345727848101,10112,0.424740231693767,19762,0.271336402569001,19762
"10","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,12,10,0.693706043628561,16778,0.747266956623957,8507,0.424615252137929,19762,0.22741349851591,19762
"11","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,36,10,0.711977520196698,17082,0.776934749620637,9226,0.430450043276918,19762,0.245199799477842,19762
"12","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,72,10,0.711893289458221,17018,0.780006505475442,9223,0.42786648420658,19762,0.244541493066913,19762
"13","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,12,10,0.665766453355252,17033,0.727510590580613,8026,0.420647783502393,19762,0.211369881343819,19762
"14","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,36,10,0.686927270618258,17242,0.76121959575197,8757,0.427404478000077,19762,0.231935661990587,19762
"15","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,72,10,0.686446588399396,17206,0.764679055979934,8771,0.423965576029518,19762,0.230595002507624,19762
"16","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,12,10,0.507449748063066,18457,0.633780160857909,5595,0.385035587997648,19762,0.138477535369801,19762
"17","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,36,10,0.522467055519551,18516,0.667217448777264,6052,0.389200121191202,19762,0.152392992002058,19762
"18","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,72,10,0.527022636196253,18466,0.678715507503631,6197,0.387732847907207,19762,0.157142917102622,19762
"19","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,12,10,0.297338846480068,18864,0.579792572766812,2989,0.251165805956529,19762,0.0728633635469127,19762
"20","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,36,10,0.312314540059347,18872,0.609807460890493,3324,0.258550399607417,19762,0.0820266193247198,19762
"21","AUTOPILOT",10800,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,72,10,0.314599004131794,18878,0.618568894145476,3382,0.258755223861956,19762,0.0837509930708756,19762
