"","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w","trace_name"
"1",0.914125874125874,7150,0.914180355346966,5966,0.798540237666546,7150,0.676713081051809,7150,"1633748"
"2",0.962501748985588,7147,0.963908184838417,6622,0.860926919243961,7150,0.804092652874119,7150,"223811"
"3",0.929302847524197,7129,0.936287192755498,6184,0.813824764141021,7150,0.722022627605133,7150,"1948107"
"4",0.906293706293706,7150,0.91254688032731,5866,0.825236457550084,7150,0.689255609136764,7150,"1962655"
"5",0.852713178294574,7095,0.858741798533385,5182,0.706394044023376,7150,0.530600894744315,7150,"586116"
"6",0.888591925727951,7109,0.887847160799575,5653,0.741187493368935,7150,0.60329334345766,7150,"964155"
"7",0.81020979020979,7150,0.862287297190344,5054,0.644253182397018,7150,0.513124850944224,7150,"1942922"
"8",0.818652849740933,7141,0.806815761448349,4695,0.631373524368267,7144,0.423181521867003,7144,"929647"
"9",0.891048951048951,7150,0.883082373782108,5645,0.761261277515657,7150,0.605376646874402,7150,"1338378"
"10",0.858622620380739,7144,0.827746560744042,5161,0.533947997120143,7148,0.413177813829443,7148,"633346"
"11",0.879220961188174,7137,0.895893371757925,5552,0.733068290757222,7150,0.594092089203902,7150,"1650389"
"12",0.938560807967457,7129,0.940559440559441,6292,0.839213707638341,7150,0.751707755394393,7150,"1641245"
"13",0.64394670785866,5179,0.717292612463888,2423,0.183353742817341,7131,0.104137110333902,7131,"1663289"
"14",0.927634363097757,7089,0.921697647639414,6079,0.787237462431876,7150,0.6876758790252,7150,"618849"
"15",0.924782486668538,7126,0.929758800521512,6136,0.817807706231531,7150,0.717731136388322,7150,"1054084"
"16",0.913566433566434,7150,0.916021541568495,5942,0.844754998896091,7150,0.713393627318402,7150,"811237"
"17",0.895804195804196,7150,0.894270833333333,5760,0.750262729230862,7150,0.6100831935475,7150,"955492"
"18",0.939823257118811,7129,0.938263767655928,6301,0.834429888691266,7149,0.745670645791342,7149,"948898"
"19",0.942364324779133,7131,0.940609698309904,6331,0.835472449990345,7148,0.749994059138799,7148,"8383"
"20",0.896956198960653,6735,0.913470278131249,5501,0.767173539066958,7148,0.645685795884937,7148,"737498"
"21",0.905314685314685,7150,0.90736301369863,5840,0.835261938558106,7150,0.693172501255627,7150,"1041019"
"22",0.892782060266293,7135,0.888340095254895,5669,0.764824896982084,7149,0.611986661933852,7149,"1985204"
"23",0.94179523141655,7130,0.940348101265823,6320,0.836750239626395,7150,0.750628489507926,7150,"948601"
"24",0.899051787016776,6855,0.927969897867766,5581,0.648007100734646,7150,0.587306910947265,7150,"1331037"
"25",0.857062937062937,7150,0.870830244625649,5396,0.738255786298215,7150,0.583485322132135,7150,"1669601"
"26",0.841634023503078,7148,0.847159867265274,5123,0.737932990468354,7149,0.536762755749259,7149,"893041"
"27",0.820078409409129,7142,0.859324758842444,4976,0.611022473172601,7150,0.46179984308495,7150,"847832"
"28",0.851742965140697,7143,0.832289628180039,5110,0.591268822119438,7150,0.435618067129545,7150,"1102195"
"29",0.885174825174825,7150,0.875471698113208,5565,0.832968537730454,7150,0.647853082810115,7150,"592977"
"30",0.901118881118881,7150,0.898015530629853,5795,0.79249806733261,7150,0.650160145861994,7150,"1471895"
"31",0.904755244755245,7150,0.905692729766804,5832,0.831919835583248,7150,0.688137991247494,7150,"1958442"
"32",0.935633151030711,7131,0.931759794476557,6228,0.836142178978347,7150,0.737798321996524,7150,"948001"
"33",0.758007117437722,3934,0.830480167014614,2395,0.310343938119562,7134,0.214152285626175,7134,"964235"
"34",0.903641456582633,7140,0.906952789699571,5825,0.760811372184129,7150,0.630784002934241,7150,"1650226"
"35",0.887080937017815,7129,0.881837683232034,5594,0.741410399907009,7149,0.598938142892997,7149,"8201"
"36",0.903470563439651,7117,0.895602493074792,5776,0.814889728968419,7150,0.673739961267841,7150,"1546130"
"37",0.866479663394109,7130,0.848084544253633,5299,0.782909985624353,7150,0.574465212005164,7150,"1221713"
"38",0.903921568627451,7140,0.911167945439045,5865,0.793781620449689,7150,0.673143883048644,7150,"943424"
"39",0.8869297509096,7146,0.894161227729758,5669,0.781022783955099,7150,0.6399764531231,7150,"706726"
"40",0.930995475113122,7072,0.931292738521654,6142,0.799435835378094,7150,0.701002983292788,7150,"809906"
"41",0.919825891603482,7122,0.92469380999669,6042,0.811966666275324,7150,0.697531217195261,7150,"611375"
"42",0.93757890307196,7129,0.933386581469649,6260,0.839186703055739,7149,0.742757453582027,7149,"1547003"
"43",0.907552447552448,7150,0.908253751705321,5864,0.835873373137651,7150,0.694651225899066,7150,"1946494"
"44",0.80089736399327,7132,0.881659131118537,5087,0.629715644466327,7150,0.516965278579492,7150,"1545927"
"45",0.947132239517599,7131,0.945929051414284,6399,0.849324576028296,7150,0.770344512130435,7150,"618853"
"46",0.842897327707454,7110,0.828667857851896,5037,0.682172149756434,7150,0.489504410203533,7150,"2008368"
"47",0.878524337214196,7129,0.879581151832461,5539,0.770902707487006,7150,0.61491747448742,7150,"943904"
"48",0.911888111888112,7150,0.912663755458515,5954,0.818334173359368,7150,0.690197262102667,7150,"1633630"
"49",0.800223838836038,7148,0.882907662082515,5090,0.631370426362208,7150,0.519135508107862,7150,"1114910"
"50",0.777902097902098,7150,0.609480812641084,3987,0.551746497346735,7149,0.253457134729965,7149,"1023683"
"51",0.899845266563511,7109,0.911438474870017,5770,0.783755817752395,7150,0.657970383703196,7150,"793205"
"52",0.893439077144917,6935,0.909934011057607,5607,0.722256460860314,7150,0.621887745852635,7150,"1221771"
