"","name","window_size","extrap_step","response","target","train_policy","statistics","cut_off_prob","granularity","train_size","model_num","update_freq","react_speed","n","half_life","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,1,0.926551496643113,669966,0.926301867273933,576134,0.690360988902878,714840,0.613383084370468,714840
"2","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,1,0.924745981606822,672097,0.924351076877108,575646,0.694364662106895,714840,0.615274314991123,714840
"3","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,1,0.92266398404672,673968,0.922276492932724,574691,0.698287109222807,714840,0.616641711782559,714840
"4","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.008,0,252000,1,1,"1,2",288,1,0.921708374962571,674606,0.921271076749943,574033,0.699828525176001,714840,0.617002047169878,714840
"5","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,1,0.920653276376478,675365,0.920227979852943,573384,0.701412098428546,714840,0.617328808944772,714840
"6","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,1,0.908629769730802,680725,0.90754624464358,562876,0.712106128819995,714840,0.61318529030253,714840
"7","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,1,0.901640375595097,683502,0.900887550049308,556701,0.716083423159206,714840,0.608770755826227,714840
"8","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,3,0.964473335061453,651961,0.965265479800933,607033,0.62717843140083,714840,0.5952994818892,714840
"9","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,3,0.959969228149554,657744,0.961102616993654,606956,0.639653579454299,714840,0.603098512828747,714840
"10","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,3,0.956277174693324,661691,0.957279640374676,605964,0.648906378272815,714840,0.607991691373114,714840
"11","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.008,0,252000,1,1,"1,2",288,3,0.95468800414929,663246,0.955625485240431,605370,0.65239803926276,714840,0.609473380211268,714840
"12","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,3,0.952986772263881,664664,0.953950491692099,604545,0.656143263405702,714840,0.611163964734776,714840
"13","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,3,0.940307366315536,673919,0.941917103822759,597422,0.681739417508944,714840,0.621254472421974,714840
"14","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,3,0.932293779044815,678047,0.934773162636802,591459,0.697227389976418,714840,0.627052956461289,714840
"15","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,6,0.975012478163214,641120,0.975740652075531,609868,0.585409547218058,714840,0.564694115014749,714840
"16","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,6,0.971132855678134,649562,0.972065736122574,613118,0.603859762015865,714840,0.579064491137133,714840
"17","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,6,0.96805438979352,655270,0.969249212321135,614781,0.617363264483642,714840,0.589321020055658,714840
"18","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.008,0,252000,1,1,"1,2",288,6,0.966710011026197,657525,0.968039891624287,615267,0.623021913747361,714840,0.59352979715626,714840
"19","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,6,0.965444824532673,659496,0.966849859397007,615563,0.628155697376422,714840,0.597229046205468,714840
"20","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,6,0.95355761707835,671025,0.956069606038713,611786,0.666417795216666,714840,0.621086823959285,714840
"21","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,6,0.945017466867697,675851,0.948269371743308,605676,0.68776907361778,714840,0.631146518770727,714840
"22","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,12,0.981462436039056,630072,0.982352176010617,607327,0.539744610742944,714840,0.525571949991603,714840
"23","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,12,0.977929760798035,642177,0.979084344248561,614707,0.566560609371628,714840,0.548926062866332,714840
"24","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,12,0.975004655844586,649721,0.976431357582266,618364,0.586107844757251,714840,0.565426548336635,714840
"25","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.008,0,252000,1,1,"1,2",288,12,0.973617072135503,652619,0.97514335714009,619432,0.594169067606965,714840,0.571963655441938,714840
"26","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,12,0.972331907216416,655159,0.973997017451937,620275,0.601454956998532,714840,0.577762079479621,714840
"27","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,12,0.960684800114741,669334,0.963761388643567,619367,0.653894677607767,714840,0.615483623442511,714840
"28","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,12,0.951311727708635,674454,0.955678878342977,612665,0.680707204636665,714840,0.629786173278807,714840
"29","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.003,0,252000,1,1,"1,2",288,72,0.988812204378973,594934,0.989872160725975,582059,0.430315310752668,714840,0.422989952453217,714840
"30","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.005,0,252000,1,1,"1,2",288,72,0.985091191833548,619902,0.986691822604138,602111,0.481135883316076,714840,0.469976219746268,714840
"31","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.007,0,252000,1,1,"1,2",288,72,0.981910011641994,634771,0.983988915779837,612763,0.515752699380232,714840,0.501143955744215,714840
"32","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.008,0,252000,1,1,"1,2",288,72,0.980437079220609,639884,0.982731663757763,615925,0.52985916761938,714840,0.513587206022495,714840
"33","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.009,0,252000,1,1,"1,2",288,72,0.978974045213567,643966,0.981495143243576,618108,0.542249456398785,714840,0.52434111389801,714840
"34","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.02,0,252000,1,1,"1,2",288,72,0.966216694397808,664115,0.971238770921166,622157,0.624425354776317,714840,0.591129336324975,714840
"35","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.03,0,252000,1,1,"1,2",288,72,0.95654061052261,670442,0.963197092372345,616310,0.662245575649779,714840,0.616154973771779,714840
"36","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,1,0.919731071056116,676015,0.919181901830315,572743,0.702732406116912,714840,0.61749676100648,714840
"37","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,1,0.887839878055521,687526,0.887407208295284,543152,0.721588735038617,714840,0.596790736056489,714840
"38","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,3,0.951709929212204,665934,0.952706091499114,604137,0.659189293020705,714840,0.612645527731639,714840
"39","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,3,0.918335664438082,682795,0.922205401519393,578652,0.715405027967206,714840,0.627268379128476,714840
"40","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,6,0.964109637103848,661236,0.965616953530496,615565,0.632833535601856,714840,0.600421701129394,714840
"41","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,6,0.929613948061669,681385,0.93482315731852,591882,0.713722400900448,714840,0.636129778562144,714840
"42","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,12,0.971164801465186,657391,0.972925356308882,620950,0.608090126058183,714840,0.583005484016625,714840
"43","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,12,0.935842909877819,680221,0.942388266990729,599062,0.712581440012989,714840,0.640555621155313,714840
"44","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,72,0.977591767635265,647396,0.980399464970578,619779,0.55336053104464,714840,0.533886382112759,714840
"45","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,72,0.940774756202046,678123,0.950660517496352,604526,0.704138495474092,714840,0.637355582449351,714840
"46","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,1,0.928505275419054,666203,0.928466151038498,575350,0.686170929969149,714840,0.610484156985775,714840
"47","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,3,0.969379169795799,641818,0.970010339548109,603508,0.60785758856053,714840,0.580737159226829,714840
"48","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,6,0.980459265712986,624388,0.981082525815858,600503,0.55322382824809,714840,0.537722912853162,714840
"49","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,12,0.98596672649203,603423,0.986596668080952,586869,0.491767468172859,714840,0.481728694340982,714840
"50","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,72,0.993681616468561,539695,0.99415267209941,533064,0.34011660939806,714840,0.336951711541733,714840
"51","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.001,0,252000,1,1,"1,2",288,144,0.994868752552141,519172,0.995243588571384,514043,0.302010989020642,714840,0.299652583758681,714840
"52","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.01,0,252000,1,1,"1,2",288,144,0.978574576326612,642181,0.981638629000318,616076,0.535018207649017,714840,0.516551305261357,714840
"53","AUTOPILOT",300,1,"max",0.99,"fixed","j-quantile",0.05,0,252000,1,1,"1,2",288,144,0.940543107643764,680123,0.951438762906319,606389,0.702496202795869,714840,0.63577975111496,714840

