"","name","window_size","extrap_step","response","target","train_policy","cluster_type","cut_off_prob","granularity","train_size","model_num","update_freq","react_speed","state_num","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","MARKOV",12,1,"max",0.99,"offline","fixed",0.001,0,840,1,3,"1,2",8,0.904601533844615,29990,0.954166016539242,25636,0.2348984412609,59249,0.208884824814724,59249
"2","MARKOV",12,1,"max",0.99,"offline","fixed",0.003,0,840,1,3,"1,2",8,0.904461139551891,30082,0.95393892238864,25705,0.236033524553931,59249,0.209884840982013,59249
"3","MARKOV",12,1,"max",0.99,"offline","fixed",0.005,0,840,1,3,"1,2",8,0.904487497930121,30195,0.953759689922481,25800,0.238143855618473,59249,0.211789491111678,59249
"4","MARKOV",12,1,"max",0.99,"offline","fixed",0.01,0,840,1,3,"1,2",8,0.905164409438735,31233,0.953103344945125,26697,0.24393080294284,59249,0.216954195925422,59249
"5","MARKOV",12,1,"max",0.99,"offline","fixed",0.03,0,840,1,3,"1,2",8,0.901352845186082,37994,0.947680556418059,32206,0.302482317911319,59249,0.26703802341749,59249
"6","MARKOV",12,1,"max",0.99,"offline","fixed",0.05,0,840,1,3,"1,2",8,0.892980661503239,41058,0.940951546993579,34260,0.349686265504012,59249,0.305873460373577,59249
"7","MARKOV",12,1,"max",0.99,"offline","fixed",0.001,0,840,1,3,"1,2",10,0.899769903359411,32595,0.946145454545455,27500,0.257994973724308,59249,0.224947264650908,59249
"8","MARKOV",12,1,"max",0.99,"offline","fixed",0.003,0,840,1,3,"1,2",10,0.89958582604694,32595,0.945903667054715,27488,0.258312632475675,59249,0.225133171779361,59249
"9","MARKOV",12,1,"max",0.99,"offline","fixed",0.005,0,840,1,3,"1,2",10,0.899090409620902,32762,0.945008337562532,27586,0.261585270263111,59249,0.227914341103175,59249
"10","MARKOV",12,1,"max",0.99,"offline","fixed",0.01,0,840,1,3,"1,2",10,0.897907874652061,33411,0.9434857020609,28046,0.268533116259096,59249,0.233642946659058,59249
"11","MARKOV",12,1,"max",0.99,"offline","fixed",0.03,0,840,1,3,"1,2",10,0.888998782714547,39432,0.938800527106126,32631,0.325523230732855,59249,0.280334065679443,59249
"12","MARKOV",12,1,"max",0.99,"offline","fixed",0.05,0,840,1,3,"1,2",10,0.88307119674996,44061,0.931600166828861,35965,0.375206593669763,59249,0.318600027757067,59249
"13","MARKOV",12,1,"max",0.99,"offline","fixed",0.001,0,840,1,3,"1,2",16,0.884507415254237,37760,0.932351123686864,30747,0.299191377617462,59249,0.255191316907133,59249
"14","MARKOV",12,1,"max",0.99,"offline","fixed",0.003,0,840,1,3,"1,2",16,0.884927194018103,38115,0.932317995942944,31057,0.300010960484372,59249,0.255901829539981,59249
"15","MARKOV",12,1,"max",0.99,"offline","fixed",0.005,0,840,1,3,"1,2",16,0.884586120949757,38115,0.931975638836078,31033,0.301741697943905,59249,0.257316218942806,59249
"16","MARKOV",12,1,"max",0.99,"offline","fixed",0.01,0,840,1,3,"1,2",16,0.883511244688569,38596,0.93105427642069,31358,0.30779404125108,59249,0.261972183137372,59249
"17","MARKOV",12,1,"max",0.99,"offline","fixed",0.03,0,840,1,3,"1,2",16,0.878228266691507,42941,0.927553821702066,34605,0.352341209422452,59249,0.29803587582536,59249
"18","MARKOV",12,1,"max",0.99,"offline","fixed",0.05,0,840,1,3,"1,2",16,0.870703476752103,45531,0.922596685082873,36200,0.388189218366535,59249,0.324554185693305,59249
"19","MARKOV",12,1,"max",0.99,"offline","fixed",0.001,0,840,1,3,"1,2",20,0.876417343909679,41098,0.922411693057247,32840,0.318391602019687,59249,0.264728632882722,59249
"20","MARKOV",12,1,"max",0.99,"offline","fixed",0.003,0,840,1,3,"1,2",20,0.876417343909679,41098,0.922411693057247,32840,0.318391602019687,59249,0.264728632882722,59249
"21","MARKOV",12,1,"max",0.99,"offline","fixed",0.005,0,840,1,3,"1,2",20,0.87560663495666,41417,0.921651170538175,33019,0.321517572963247,59249,0.267336560392886,59249
"22","MARKOV",12,1,"max",0.99,"offline","fixed",0.01,0,840,1,3,"1,2",20,0.874446191224811,41982,0.920351066379104,33384,0.325958429466133,59249,0.270510486591336,59249
"23","MARKOV",12,1,"max",0.99,"offline","fixed",0.03,0,840,1,3,"1,2",20,0.865891267953124,45396,0.916118883083319,35598,0.36929676349559,59249,0.303404123205671,59249
"24","MARKOV",12,1,"max",0.99,"offline","fixed",0.05,0,840,1,3,"1,2",20,0.853735987383317,46922,0.90647622229647,35916,0.402488896953673,59249,0.324446250963318,59249
